"portfolio","geom_average_return","status"
"AAPL",NA,"missing_dependencies"
"MSFT",NA,"missing_dependencies"
"NVDA",NA,"missing_dependencies"
"AMZN",NA,"missing_dependencies"
"GOOG",NA,"missing_dependencies"
"GOOGL",NA,"missing_dependencies"
"META",NA,"missing_dependencies"
"TSLA",NA,"missing_dependencies"
"AVGO",NA,"missing_dependencies"
"COST",NA,"missing_dependencies"
"ADBE",NA,"missing_dependencies"
"PEP",NA,"missing_dependencies"
"NFLX",NA,"missing_dependencies"
"AMD",NA,"missing_dependencies"
"CSCO",NA,"missing_dependencies"
"INTU",NA,"missing_dependencies"
"TXN",NA,"missing_dependencies"
"QCOM",NA,"missing_dependencies"
"AMGN",NA,"missing_dependencies"
"HON",NA,"missing_dependencies"
"SBUX",NA,"missing_dependencies"
"AMAT",NA,"missing_dependencies"
"LRCX",NA,"missing_dependencies"
"ADI",NA,"missing_dependencies"
"BKNG",NA,"missing_dependencies"
"PDD",NA,"missing_dependencies"
"VRTX",NA,"missing_dependencies"
"ISRG",NA,"missing_dependencies"
"GILD",NA,"missing_dependencies"
"MU",NA,"missing_dependencies"
"equal_weight",NA,"insufficient_data"
