"ticker","status","geom_average_return","sharpe_ratio","buy_hold_return","jensen_alpha","message"
"AAPL","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"MSFT","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"NVDA","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"AMZN","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"GOOG","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"GOOGL","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"META","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"TSLA","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"AVGO","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"COST","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"ADBE","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"PEP","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"NFLX","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"AMD","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"CSCO","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"INTU","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"TXN","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"QCOM","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"AMGN","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"HON","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"SBUX","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"AMAT","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"LRCX","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"ADI","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"BKNG","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"PDD","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"VRTX","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"ISRG","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"GILD","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
"MU","missing_dependencies",NA,NA,NA,NA,"Missing dependencies or offline mode prevented execution"
